Actual Class\Predicted Class;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;Total
30;0;5;5;1;0;0;1;14;23;1;1;0;30;32;22;0;0;0;0;1;0;0;2;0;1;0;1;4;0;1;199;0;15;2;0;2;0;15;8;0;0;0;1;0;0;2;0;2;9;400
31;0;0;0;0;0;0;1;0;40;0;0;0;0;0;0;0;1;3;3;0;0;0;0;0;0;0;0;0;1;0;1;348;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;400
32;9;0;0;0;0;0;0;3;2;11;2;5;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;7;0;347;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;1;399
33;0;0;5;0;5;0;0;1;3;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;348;1;0;0;11;2;0;0;5;3;1;7;0;0;0;2;400
34;3;0;0;0;2;0;2;8;1;0;1;0;0;0;1;0;0;0;0;0;2;0;2;0;2;1;0;19;0;0;0;0;1;1;343;2;0;1;2;0;1;0;0;0;0;0;3;0;1;399
35;3;6;1;5;0;0;1;0;0;3;1;0;0;0;0;0;0;0;0;1;5;0;1;0;10;1;1;3;0;1;0;0;0;0;0;288;0;0;0;0;0;0;0;0;0;36;3;17;13;400
36;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;396;0;0;0;0;0;0;0;0;0;0;0;0;400
37;0;0;12;0;0;0;0;0;0;0;0;0;5;4;15;0;0;0;0;0;1;0;5;0;1;0;1;17;0;0;8;0;0;10;0;0;0;308;2;0;0;0;2;0;4;1;1;0;3;400
38;0;0;3;3;3;1;0;8;0;2;0;0;1;9;22;0;0;0;0;3;2;0;10;0;0;1;1;5;1;11;1;0;0;7;1;1;0;3;293;1;0;0;0;1;1;0;2;0;3;400
39;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;352;17;0;0;26;3;0;0;0;0;400
40;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;356;0;0;0;0;0;0;0;0;399
41;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;8;1;0;0;0;0;0;0;370;0;11;6;0;1;0;0;400
42;0;0;1;1;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;2;0;0;3;0;0;0;1;0;0;0;3;363;3;8;0;0;0;0;398
43;0;0;0;0;1;0;0;2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;0;1;9;0;0;0;0;1;15;3;39;12;294;14;0;0;0;0;400
44;0;1;5;1;1;0;0;2;0;0;1;0;6;0;1;0;0;0;0;3;1;6;3;0;0;0;0;2;3;1;2;1;1;9;0;0;0;0;0;1;1;6;12;7;323;0;0;0;0;400
45;0;22;2;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;18;0;0;3;2;0;0;0;0;0;7;106;0;0;1;0;0;0;0;0;0;191;4;22;12;397
46;5;15;1;1;1;0;0;2;2;1;0;1;0;0;2;0;0;0;0;0;2;0;3;6;7;4;1;5;4;0;1;0;0;0;6;8;0;0;1;1;0;1;0;0;0;5;303;1;2;392
47;0;14;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;59;0;0;0;0;2;2;1;0;0;0;0;11;0;0;1;0;0;0;0;0;0;14;2;285;2;397
48;0;20;3;4;0;0;0;2;0;1;0;1;1;1;9;0;0;0;0;1;1;0;1;4;6;0;0;9;2;2;3;0;1;1;5;12;0;1;3;0;0;0;1;0;0;6;4;1;293;399
Total;424;340;431;388;401;430;341;400;456;383;391;376;376;391;426;392;414;374;434;421;418;301;393;489;414;371;375;428;403;378;329;370;436;438;401;503;410;423;365;414;378;428;407;346;433;292;407;401;405;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Actual Class\Predicted Class;0;4;5;10;15;16;17;18;20;25;36;39;40;41;42;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;358;0;0;0;0;0;1;0;0;0;0;1;0;0;0;398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
